query_graph_count,outer_update_method,AverageReturn,seed,validation_query_mean_latency_k3,Average energy,,hyperparameter_provenance.policy,support_trajectories_per_meta_task,inner_learning_rate,support_graphs_per_meta_task,Average reward, ,validation_query_composite_objective,EnvExecTime,Average greedy latency,,NumTrajs,Average latency,,validation_query_composite_objective_k0,AverageDiscountedReturn,validation_query_mean_latency_k0,ppo_batch_size_trajectories,MaxReturn,split_role,k_steps,MinReturn,value_clip_epsilon,outer_update_count,checkpoint_selection_metric,meta_batch_size_distributions,checkpoint_is_best_val,outer_learning_rate,split_version,entropy_coefficient,Itr,StdReturn,PolicyExecTime
80,mrlco_first_order_mean_pseudogradient,1.3400872797232375,0,715.5610528675568,533.2355262851422,fixed_literature_derived_defaults,20,0.0005,20,1.3400872797232375,1.3366262107421811,28.931346654891968,612.1315675579343,10000,668.0107247671904,1.4288979524352399,1.2323581316368044,675.568307364338,20,4.179980968905136,meta_train_support,3,-0.2923888256150281,0.2,1,validation_query_composite_objective,10,1,0.0005,MARGO-SPLIT-v1,0.0,0,0.700127386298095,32.21029448509216
80,mrlco_first_order_mean_pseudogradient,1.3613524513091644,0,,607.9720895990127,fixed_literature_derived_defaults,20,0.0005,20,1.3613524513091644,,27.655234336853027,604.7713929344723,10000,698.7288722261986,,1.2478016871858986,,20,4.558445028359722,meta_train_support,3,-0.12282821070454286,0.2,2,,10,,0.0005,MARGO-SPLIT-v1,0.0,1,0.7061215016705394,32.66015291213989
80,mrlco_first_order_mean_pseudogradient,1.1514082693023973,0,,767.8644490388732,fixed_literature_derived_defaults,20,0.0005,20,1.1514082693023973,,29.269959688186646,622.3009868621689,10000,792.1572601618221,,1.0568750853199047,,20,4.152591487106832,meta_train_support,3,-0.43516576661367584,0.2,3,,10,,0.0005,MARGO-SPLIT-v1,0.0,2,0.6181880294625925,32.27580523490906
80,mrlco_first_order_mean_pseudogradient,1.2759080599227055,0,,734.5649186350097,fixed_literature_derived_defaults,20,0.0005,20,1.2759080599227055,,28.010053396224976,589.0734555792673,10000,798.1599028510501,,1.1666287560500597,,20,3.5939547155902507,meta_train_support,3,-0.08096769040699708,0.2,4,,10,,0.0005,MARGO-SPLIT-v1,0.0,3,0.5662944321839919,32.489264249801636
80,mrlco_first_order_mean_pseudogradient,1.1345579773523766,0,,839.3584278934719,fixed_literature_derived_defaults,20,0.0005,20,1.1345579773523766,,27.13424587249756,611.1135460177558,10000,820.6611383128167,,1.0375027783883797,,20,4.24149651815024,meta_train_support,3,-0.4201349022576559,0.2,5,,10,,0.0005,MARGO-SPLIT-v1,0.0,4,0.6153525456687887,32.82465744018555
80,mrlco_first_order_mean_pseudogradient,0.9857029368459833,0,,954.8970075608336,fixed_literature_derived_defaults,20,0.0005,20,0.9857029368459831,,26.82705307006836,628.5791581629481,10000,863.7587238102354,,0.9017673141323131,,20,3.757857018572836,meta_train_support,3,-0.4204247199628419,0.2,6,,10,,0.0005,MARGO-SPLIT-v1,0.0,5,0.4950183688201836,32.96726131439209
80,mrlco_first_order_mean_pseudogradient,1.0763960455970984,0,,956.2042983250715,fixed_literature_derived_defaults,20,0.0005,20,1.0763960455970984,,26.971771240234375,600.2586262120248,10000,903.0681423709557,,0.9783965768872531,,20,3.0823854615878505,meta_train_support,3,-0.44729338293532117,0.2,7,,10,,0.0005,MARGO-SPLIT-v1,0.0,6,0.503856759600723,32.48428964614868
80,mrlco_first_order_mean_pseudogradient,0.9530362622425677,0,,965.887896112494,fixed_literature_derived_defaults,20,0.0005,20,0.9530362622425677,,26.693632125854492,606.6516427646773,10000,897.3407027631652,,0.8671315944358484,,20,4.225685483138609,meta_train_support,3,-0.8173060272835353,0.2,8,,10,,0.0005,MARGO-SPLIT-v1,0.0,7,0.4469880105249756,32.826528787612915
80,mrlco_first_order_mean_pseudogradient,0.9435172574323486,0,,969.7325646056436,fixed_literature_derived_defaults,20,0.0005,20,0.9435172574323486,,27.411376953125,608.7837606597355,10000,897.8960574790083,,0.8582794979073549,,20,2.7025059000041067,meta_train_support,3,-0.32622196757995575,0.2,9,,10,,0.0005,MARGO-SPLIT-v1,0.0,8,0.4622316000738323,32.90326809883118
80,mrlco_first_order_mean_pseudogradient,0.9680440162767056,0,,1010.3126211762924,fixed_literature_derived_defaults,20,0.0005,20,0.9680440162767056,,25.79897952079773,597.4118719431332,10000,931.475808808557,,0.8774507771047796,,20,3.148063996880034,meta_train_support,3,-0.40150616352883256,0.2,10,,10,,0.0005,MARGO-SPLIT-v1,0.0,9,0.4567896880158662,33.19131088256836
80,mrlco_first_order_mean_pseudogradient,0.9785542888361313,0,,967.1424261424688,fixed_literature_derived_defaults,20,0.0005,20,0.9785542888361313,,27.208622694015503,614.7424242979868,10000,893.0430320441915,,0.8898995905317412,,20,3.2105716373162583,meta_train_support,3,-0.38770562059199354,0.2,11,,10,,0.0005,MARGO-SPLIT-v1,0.0,10,0.4685340140194053,32.701558351516724
