Task,Method,Final Lat.,Last-20 Lat.,Lat. Impr.,Final Energy,Last-20 Energy,Energy Impr.,Lat. Std.,Energy Std.,Comp. Impr.
T1,MARGO,574.8990213852815,575.3978113562298,17.71%,659.295600754488,659.0088324629746,28.34%,0.3999776487942814,0.3815357559333616,23.03%
T1,MRLCO-style,616.3139569208622,617.1643344160948,22.41%,626.7961815897543,629.7983921575657,27.96%,1.8322642096825366,3.7695500763928145,25.18%
T2,MARGO,603.8868332109928,605.160457335221,14.32%,682.9713475586265,682.68984382403,27.04%,0.9399054673372426,0.4341160207631084,20.68%
T2,MRLCO-style,713.4886530284473,652.8891794359682,19.29%,572.8360532877646,646.1309215535714,27.45%,29.126600751068764,33.40088436766348,23.37%
