Task,Avg Makespan,Avg Energy,Avg Local Actions,Avg MEC Actions,Avg V2V Actions,V2V Range
T1,1044.0455606121334,660.4085593372182,6.98,11.67,1.35,0-2
T2,1053.7197294351033,683.4799194012015,6.87,11.66,1.47,1-2
