"Average greedy latency,",mask/active_rate,mask/forced_rate,mask/all_invalid_rate,policy/invalid_action_rate,policy/argmax_masked_rate,policy/entropy_valid,critic/value_abs_max,inner_update_mode,PolicyExecTime,EnvExecTime,AverageDiscountedReturn,AverageReturn,NumTrajs,StdReturn,MaxReturn,MinReturn,"Average energy,",Itr,"Average reward, ","Average latency,",split_role,seed,split_version,support_graphs_per_meta_task,support_trajectories_per_meta_task,query_graph_count,k_steps,outer_update_count,entropy_coefficient,value_clip_epsilon,ppo_batch_size_trajectories,meta_batch_size_distributions,inner_learning_rate,outer_learning_rate,outer_update_method,hyperparameter_provenance.policy,validation_query_composite_objective_k0,validation_query_composite_objective,validation_query_mean_latency_k0,validation_query_mean_latency_k3,checkpoint_selection_metric,checkpoint_is_best_val
607.9600599910328,0.0,0.0,0.0,0.0,0.0,0.4862181065320467,0.6741443872451782,publication,36.96129107475281,68.2513074874878,0.8230351207378741,0.8944827645358748,10000,0.11235405172593275,1.0896422730966202,0.4626067629703696,198.91232822800347,10,0.8944827645358748,647.0446528492491,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,11,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
636.6356672997747,0.0,0.0,0.0,0.0,0.0,0.36879012413298057,0.8100676536560059,publication,36.385515451431274,69.35720038414001,0.8164510174517569,0.8895409002015938,10000,0.10023448001884382,1.0768005413273363,0.34566588272519494,164.21870952871814,11,0.8895409002015938,698.8001177649118,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,12,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
618.5834658982822,0.0,0.0,0.0,0.0,0.0,0.24837478518836062,0.9375036358833313,publication,36.46397256851196,69.70646214485168,0.8389654489885666,0.9137222430969985,10000,0.10156998904611027,1.1035767700017376,0.5564025908437938,107.6880152045771,12,0.9137222430969985,674.5987857299968,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,13,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
601.6598208622523,0.0,0.0,0.0,0.0,0.0,0.14165365917429687,1.1024292707443237,publication,38.38007998466492,69.4653799533844,0.8328412420971305,0.9086763159887622,10000,0.08777428433409977,1.0870716329564,0.5213691400101605,167.97562407201374,13,0.9086763159887622,618.6046933360278,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,14,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
618.0801111005919,0.0,0.0,0.0,0.0,0.0,0.11282122960438074,1.07292640209198,publication,34.02208399772644,69.64763951301575,0.8395424136772562,0.9164990676525046,10000,0.09577860240084826,1.0777463278934072,0.4959502488904346,127.26674548690829,14,0.9164990676525046,652.6871808949197,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,15,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
604.2377499540057,0.0,0.0,0.0,0.0,0.0,0.09717663099396097,0.9351664185523987,publication,35.28225779533386,68.81656813621521,0.8702427248829141,0.9483654838403897,10000,0.07492604999394807,1.0824395591156881,0.5758953670666163,75.54970792363133,15,0.9483654838403897,601.978796718457,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,16,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
590.6252554307529,0.0,0.0,0.0,0.0,0.0,0.07566578315981562,0.8695890307426453,publication,36.38437104225159,68.3416166305542,0.8920045494474387,0.973564632926214,10000,0.06986083296373684,1.0717410814012962,0.5729086308141842,59.603799765122936,16,0.973564632926214,545.1846210579422,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,17,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
616.8687825999941,0.0,0.0,0.0,0.0,0.0,0.06788714079320304,0.9367174506187439,publication,37.174742698669434,69.89102506637573,0.8527829396324705,0.9282897060915022,10000,0.0918828383488349,1.086579404115751,0.49479416427060563,86.32627649618334,17,0.9282897060915022,678.357497247373,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,18,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
614.8845741648538,0.0,0.0,0.0,0.0,0.0,0.05181025357404748,1.0561811923980713,publication,36.34092116355896,69.08800601959229,0.8540605011242144,0.9300397113603184,10000,0.0887228537902529,1.1035767700017376,0.5056653754479806,94.64450718973787,18,0.9300397113603184,640.0897209812478,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,19,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
612.1934151780673,0.0,0.0,0.0,0.0,0.0,0.04823300206322287,1.0122328996658325,publication,35.167309522628784,67.46084713935852,0.8512567692646414,0.9270017674788341,10000,0.08356244053653553,1.0805611666359314,0.4929645908126046,94.86616296792799,19,0.9270017674788341,654.2463206071623,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,20,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
